 (9.48707104e-01+1.98685557e-01j)  (2.77392268e-01+5.71365297e-01j)  (5.29164732e-01+8.15697610e-01j)  (9.76624727e-01+1.38427690e-01j)  (7.23230004e-01+6.75607800e-01j)  (4.73844796e-01+4.02773350e-01j)  (9.10616159e-01+3.88093978e-01j)  (7.99170375e-01+5.86597681e-01j)  (8.19163144e-01+5.45120060e-01j)  (8.72387588e-01+4.72240478e-01j)
 (9.48684692e-01+1.98697880e-01j)  (2.77397186e-01+5.71410596e-01j)  (5.29039741e-01+8.15651715e-01j)  (9.76618886e-01+1.38394937e-01j)  (7.23234355e-01+6.75604105e-01j)  (4.73764628e-01+4.02749509e-01j)  (9.10627127e-01+3.88066143e-01j)  (7.99160302e-01+5.86610556e-01j)  (8.19163918e-01+5.45116484e-01j)  (8.72371614e-01+4.72271979e-01j)
 (9.48657870e-01+1.98712796e-01j)  (2.77403206e-01+5.71464956e-01j)  (5.28889954e-01+8.15596163e-01j)  (9.76611853e-01+1.38355926e-01j)  (7.23239839e-01+6.75599575e-01j)  (4.73668724e-01+4.02720451e-01j)  (9.10640597e-01+3.88032168e-01j)  (7.99148023e-01+5.86626112e-01j)  (8.19164813e-01+5.45112312e-01j)  (8.72352183e-01+4.72310245e-01j)
 (9.48626757e-01+1.98730499e-01j)  (2.77410299e-01+5.71528494e-01j)  (5.28715491e-01+8.15531313e-01j)  (9.76603687e-01+1.38310716e-01j)  (7.23245978e-01+6.75594389e-01j)  (4.73557502e-01+4.02686685e-01j)  (9.10656333e-01+3.87992620e-01j)  (7.99133718e-01+5.86644471e-01j)  (8.19165945e-01+5.45107186e-01j)  (8.72329712e-01+4.72354501e-01j)
 (9.48591650e-01+1.98750749e-01j)  (2.77418375e-01+5.71599960e-01j)  (5.28518140e-01+8.15457463e-01j)  (9.76594508e-01+1.38260022e-01j)  (7.23253250e-01+6.75588191e-01j)  (4.73432511e-01+4.02648956e-01j)  (9.10674155e-01+3.87947619e-01j)  (7.99117684e-01+5.86664736e-01j)  (8.19167376e-01+5.45101285e-01j)  (8.72304618e-01+4.72404063e-01j)
 (9.48552966e-01+1.98773623e-01j)  (2.77427465e-01+5.71679056e-01j)  (5.28300047e-01+8.15375030e-01j)  (9.76584494e-01+1.38204128e-01j)  (7.23261297e-01+6.75581515e-01j)  (4.73295182e-01+4.02607232e-01j)  (9.10694242e-01+3.87897253e-01j)  (7.99099982e-01+5.86687386e-01j)  (8.19169104e-01+5.45094550e-01j)  (8.72276843e-01+4.72458780e-01j)
 (9.48510706e-01+1.98799089e-01j)  (2.77437240e-01+5.71764946e-01j)  (5.28062165e-01+8.15284491e-01j)  (9.76573706e-01+1.38143778e-01j)  (7.23270178e-01+6.75573945e-01j)  (4.73145932e-01+4.02561516e-01j)  (9.10716236e-01+3.87842029e-01j)  (7.99080670e-01+5.86711943e-01j)  (8.19171250e-01+5.45086920e-01j)  (8.72246563e-01+4.72518474e-01j)
 (9.48465586e-01+1.98826775e-01j)  (2.77447969e-01+5.71857393e-01j)  (5.27806461e-01+8.15186381e-01j)  (9.76562202e-01+1.38079613e-01j)  (7.23279834e-01+6.75565839e-01j)  (4.72986639e-01+4.02512550e-01j)  (9.10740137e-01+3.87782276e-01j)  (7.99059927e-01+5.86738467e-01j)  (8.19173634e-01+5.45078576e-01j)  (8.72214198e-01+4.72582310e-01j)
 (9.48417544e-01+1.98857069e-01j)  (2.77459502e-01+5.71955979e-01j)  (5.27533710e-01+8.15080523e-01j)  (9.76550043e-01+1.38011590e-01j)  (7.23290205e-01+6.75557077e-01j)  (4.72817808e-01+4.02460605e-01j)  (9.10765827e-01+3.87717962e-01j)  (7.99037814e-01+5.86766660e-01j)  (8.19176435e-01+5.45069277e-01j)  (8.72179925e-01+4.72649932e-01j)
 (9.48366761e-01+1.98889688e-01j)  (2.77471930e-01+5.72060406e-01j)  (5.27244329e-01+8.14967275e-01j)  (9.76537347e-01+1.37939975e-01j)  (7.23301411e-01+6.75547540e-01j)  (4.72639889e-01+4.02405709e-01j)  (9.10793424e-01+3.87649029e-01j)  (7.99014568e-01+5.86796343e-01j)  (8.19179952e-01+5.45058787e-01j)  (8.72143686e-01+4.72721428e-01j)
 (9.48313236e-01+1.98924959e-01j)  (2.77485102e-01+5.72170377e-01j)  (5.26938736e-01+8.14846277e-01j)  (9.76523995e-01+1.37865141e-01j)  (7.23313451e-01+6.75537229e-01j)  (4.72453237e-01+4.02347624e-01j)  (9.10822749e-01+3.87575775e-01j)  (7.98990011e-01+5.86827874e-01j)  (8.19183767e-01+5.45047641e-01j)  (8.72105718e-01+4.72796261e-01j)
 (9.48257029e-01+1.98962882e-01j)  (2.77499020e-01+5.72286308e-01j)  (5.26616156e-01+8.14717233e-01j)  (9.76510108e-01+1.37786925e-01j)  (7.23326504e-01+6.75526142e-01j)  (4.72257674e-01+4.02286381e-01j)  (9.10854101e-01+3.87497663e-01j)  (7.98964143e-01+5.86860776e-01j)  (8.19188118e-01+5.45035243e-01j)  (8.72065723e-01+4.72875357e-01j)
 (9.48197961e-01+1.99003488e-01j)  (2.77513891e-01+5.72407961e-01j)  (5.26277006e-01+8.14580202e-01j)  (9.76495743e-01+1.37705564e-01j)  (7.23340273e-01+6.75514400e-01j)  (4.72053945e-01+4.02222425e-01j)  (9.10887420e-01+3.87414873e-01j)  (7.98937142e-01+5.86895466e-01j)  (8.19193065e-01+5.45021772e-01j)  (8.72024059e-01+4.72957760e-01j)
 (9.48136330e-01+1.99046925e-01j)  (2.77529776e-01+5.72535574e-01j)  (5.25920928e-01+8.14434350e-01j)  (9.76480842e-01+1.37620971e-01j)  (7.23354876e-01+6.75501883e-01j)  (4.71841305e-01+4.02155310e-01j)  (9.10922766e-01+3.87326926e-01j)  (7.98908710e-01+5.86931825e-01j)  (8.19198608e-01+5.45007110e-01j)  (8.71980488e-01+4.73043740e-01j)
 (9.48072016e-01+1.99093372e-01j)  (2.77546555e-01+5.72668791e-01j)  (5.25548339e-01+8.14280152e-01j)  (9.76465523e-01+1.37533426e-01j)  (7.23370373e-01+6.75488591e-01j)  (4.71621066e-01+4.02085423e-01j)  (9.10960019e-01+3.87234390e-01j)  (7.98879147e-01+5.86969733e-01j)  (8.19204748e-01+5.44991434e-01j)  (8.71935308e-01+4.73133236e-01j)
 (9.48005378e-01+1.99142620e-01j)  (2.77564108e-01+5.72806835e-01j)  (5.25160432e-01+8.14117491e-01j)  (9.76449668e-01+1.37443364e-01j)  (7.23386824e-01+6.75474465e-01j)  (4.71393585e-01+4.02012855e-01j)  (9.10999358e-01+3.87136817e-01j)  (7.98848391e-01+5.87009251e-01j)  (8.19211841e-01+5.44974208e-01j)  (8.71888399e-01+4.73225951e-01j)
 (9.47936475e-01+1.99194714e-01j)  (2.77582318e-01+5.72950065e-01j)  (5.24757624e-01+8.13946486e-01j)  (9.76433575e-01+1.37350768e-01j)  (7.23404050e-01+6.75459683e-01j)  (4.71159130e-01+4.01937574e-01j)  (9.11040485e-01+3.87034923e-01j)  (7.98816621e-01+5.87049961e-01j)  (8.19219410e-01+5.44955969e-01j)  (8.71840179e-01+4.73321289e-01j)
 (9.47865605e-01+1.99249402e-01j)  (2.77601749e-01+5.73097587e-01j)  (5.24341702e-01+8.13767493e-01j)  (9.76417184e-01+1.37256354e-01j)  (7.23421931e-01+6.75444186e-01j)  (4.70919460e-01+4.01860356e-01j)  (9.11083400e-01+3.86928707e-01j)  (7.98783839e-01+5.87092161e-01j)  (8.19227815e-01+5.44936419e-01j)  (8.71790707e-01+4.73419279e-01j)
 (9.47793126e-01+1.99306652e-01j)  (2.77621746e-01+5.73248804e-01j)  (5.23913920e-01+8.13581407e-01j)  (9.76400614e-01+1.37160376e-01j)  (7.23440707e-01+6.75428033e-01j)  (4.70675170e-01+4.01781142e-01j)  (9.11127985e-01+3.86818528e-01j)  (7.98750401e-01+5.87135255e-01j)  (8.19236934e-01+5.44915617e-01j)  (8.71740103e-01+4.73519444e-01j)
 (9.47719395e-01+1.99366167e-01j)  (2.77642339e-01+5.73402762e-01j)  (5.23477018e-01+8.13388467e-01j)  (9.76383865e-01+1.37063444e-01j)  (7.23460019e-01+6.75411224e-01j)  (4.70427930e-01+4.01700318e-01j)  (9.11173999e-01+3.86704952e-01j)  (7.98716128e-01+5.87179244e-01j)  (8.19246650e-01+5.44893920e-01j)  (8.71688843e-01+4.73621011e-01j)
 (9.47644770e-01+1.99427530e-01j)  (2.77663559e-01+5.73559046e-01j)  (5.23032784e-01+8.13189924e-01j)  (9.76367176e-01+1.36966169e-01j)  (7.23480046e-01+6.75393939e-01j)  (4.70178992e-01+4.01618719e-01j)  (9.11221206e-01+3.86588663e-01j)  (7.98681557e-01+5.87223887e-01j)  (8.19257259e-01+5.44870913e-01j)  (8.71637166e-01+4.73723471e-01j)
 (9.47569728e-01+1.99490577e-01j)  (2.77685314e-01+5.73716283e-01j)  (5.22584438e-01+8.12986910e-01j)  (9.76350605e-01+1.36868998e-01j)  (7.23500133e-01+6.75376594e-01j)  (4.69929993e-01+4.01536554e-01j)  (9.11269128e-01+3.86470377e-01j)  (7.98646688e-01+5.87268829e-01j)  (8.19268227e-01+5.44847250e-01j)  (8.71585369e-01+4.73826289e-01j)
 (9.47495043e-01+1.99554622e-01j)  (2.77707040e-01+5.73873043e-01j)  (5.22135139e-01+8.12780857e-01j)  (9.76334274e-01+1.36772856e-01j)  (7.23520637e-01+6.75358772e-01j)  (4.69682723e-01+4.01454538e-01j)  (9.11317647e-01+3.86350989e-01j)  (7.98611879e-01+5.87313771e-01j)  (8.19279850e-01+5.44822812e-01j)  (8.71533990e-01+4.73928303e-01j)
 (9.47421253e-01+1.99618995e-01j)  (2.77728945e-01+5.74028194e-01j)  (5.21689594e-01+8.12573969e-01j)  (9.76318240e-01+1.36678532e-01j)  (7.23541141e-01+6.75340950e-01j)  (4.69439656e-01+4.01373386e-01j)  (9.11366165e-01+3.86231631e-01j)  (7.98577547e-01+5.87358117e-01j)  (8.19291711e-01+5.44798076e-01j)  (8.71483207e-01+4.74028945e-01j)
 (9.47349191e-01+1.99682832e-01j)  (2.77750790e-01+5.74179888e-01j)  (5.21252811e-01+8.12368810e-01j)  (9.76302922e-01+1.36587128e-01j)  (7.23561525e-01+6.75323188e-01j)  (4.69203711e-01+4.01294291e-01j)  (9.11413968e-01+3.86114001e-01j)  (7.98543930e-01+5.87401569e-01j)  (8.19303989e-01+5.44772983e-01j)  (8.71433854e-01+4.74127054e-01j)
 (9.47279990e-01+1.99745283e-01j)  (2.77771801e-01+5.74325800e-01j)  (5.20830572e-01+8.12168062e-01j)  (9.76288259e-01+1.36499599e-01j)  (7.23581314e-01+6.75305903e-01j)  (4.68977332e-01+4.01218057e-01j)  (9.11460519e-01+3.85999650e-01j)  (7.98511505e-01+5.87443471e-01j)  (8.19316089e-01+5.44748425e-01j)  (8.71386588e-01+4.74220902e-01j)
 (9.47214425e-01+1.99805260e-01j)  (2.77792037e-01+5.74464262e-01j)  (5.20429313e-01+8.11975241e-01j)  (9.76274490e-01+1.36417329e-01j)  (7.23600090e-01+6.75289512e-01j)  (4.68764007e-01+4.01145786e-01j)  (9.11505044e-01+3.85890245e-01j)  (7.98480749e-01+5.87483406e-01j)  (8.19328010e-01+5.44724405e-01j)  (8.71341944e-01+4.74309683e-01j)
 (9.47153568e-01+1.99861720e-01j)  (2.77810901e-01+5.74592590e-01j)  (5.20055115e-01+8.11793625e-01j)  (9.76261854e-01+1.36341318e-01j)  (7.23617792e-01+6.75274134e-01j)  (4.68566269e-01+4.01078582e-01j)  (9.11546767e-01+3.85787815e-01j)  (7.98452199e-01+5.87520421e-01j)  (8.19339454e-01+5.44701695e-01j)  (8.71300519e-01+4.74391997e-01j)
 (9.47098136e-01+1.99913740e-01j)  (2.77828336e-01+5.74709952e-01j)  (5.19713521e-01+8.11626256e-01j)  (9.76250470e-01+1.36272520e-01j)  (7.23634064e-01+6.75259829e-01j)  (4.68387395e-01+4.01017487e-01j)  (9.11585093e-01+3.85693848e-01j)  (7.98426211e-01+5.87554097e-01j)  (8.19350004e-01+5.44680834e-01j)  (8.71263027e-01+4.74466681e-01j)
