session_test_id,device,age,gender,matr,trial_id,rating_stimulus,rating_score,rating_time,rating_comment
masterthesis_mushra,headphones,43,none,,f6_i,reference,100,32241,
masterthesis_mushra,headphones,43,none,,f6_i,C2,51,32241,
masterthesis_mushra,headphones,43,none,,f6_i,C4,18,32241,
masterthesis_mushra,headphones,43,none,,f6_i,C3,80,32241,
masterthesis_mushra,headphones,43,none,,f6_i,C1,45,32241,
masterthesis_mushra,headphones,43,none,,m5_o,C2,80,40919,
masterthesis_mushra,headphones,43,none,,m5_o,reference,100,40919,
masterthesis_mushra,headphones,43,none,,m5_o,C4,100,40919,
masterthesis_mushra,headphones,43,none,,m5_o,C1,100,40919,
masterthesis_mushra,headphones,43,none,,m5_o,C3,21,40919,
masterthesis_mushra,headphones,43,none,,m8_i,reference,100,21619,
masterthesis_mushra,headphones,43,none,,m8_i,C2,74,21619,
masterthesis_mushra,headphones,43,none,,m8_i,C4,64,21619,
masterthesis_mushra,headphones,43,none,,m8_i,C3,49,21619,
masterthesis_mushra,headphones,43,none,,m8_i,C1,51,21619,
masterthesis_mushra,headphones,43,none,,m4_a,reference,100,27929,
masterthesis_mushra,headphones,43,none,,m4_a,C4,52,27929,
masterthesis_mushra,headphones,43,none,,m4_a,C2,30,27929,
masterthesis_mushra,headphones,43,none,,m4_a,C1,58,27929,
masterthesis_mushra,headphones,43,none,,m4_a,C3,37,27929,
masterthesis_mushra,headphones,43,none,,f5_a,C2,100,19345,
masterthesis_mushra,headphones,43,none,,f5_a,C3,56,19345,
masterthesis_mushra,headphones,43,none,,f5_a,C4,24,19345,
masterthesis_mushra,headphones,43,none,,f5_a,C1,100,19345,
masterthesis_mushra,headphones,43,none,,f5_a,reference,78,19345,
masterthesis_mushra,headphones,43,none,,m2_a,C4,63,46277,
masterthesis_mushra,headphones,43,none,,m2_a,reference,100,46277,
masterthesis_mushra,headphones,43,none,,m2_a,C2,76,46277,
masterthesis_mushra,headphones,43,none,,m2_a,C1,100,46277,
masterthesis_mushra,headphones,43,none,,m2_a,C3,21,46277,
masterthesis_mushra,headphones,43,none,,m1_o,reference,63,36362,
masterthesis_mushra,headphones,43,none,,m1_o,C3,0,36362,
masterthesis_mushra,headphones,43,none,,m1_o,C4,81,36362,
masterthesis_mushra,headphones,43,none,,m1_o,C1,96,36362,
masterthesis_mushra,headphones,43,none,,m1_o,C2,40,36362,
masterthesis_mushra,headphones,43,none,,f1_i,reference,100,26403,
masterthesis_mushra,headphones,43,none,,f1_i,C1,76,26403,
masterthesis_mushra,headphones,43,none,,f1_i,C4,21,26403,
masterthesis_mushra,headphones,43,none,,f1_i,C2,44,26403,
masterthesis_mushra,headphones,43,none,,f1_i,C3,15,26403,
masterthesis_mushra,headphones,43,none,,m4_o,C1,22,36408,
masterthesis_mushra,headphones,43,none,,m4_o,reference,100,36408,
masterthesis_mushra,headphones,43,none,,m4_o,C4,39,36408,
masterthesis_mushra,headphones,43,none,,m4_o,C2,0,36408,
masterthesis_mushra,headphones,43,none,,m4_o,C3,26,36408,
masterthesis_mushra,headphones,43,none,,f6_a,reference,81,21412,
masterthesis_mushra,headphones,43,none,,f6_a,C4,100,21412,
masterthesis_mushra,headphones,43,none,,f6_a,C3,38,21412,
masterthesis_mushra,headphones,43,none,,f6_a,C1,61,21412,
masterthesis_mushra,headphones,43,none,,f6_a,C2,58,21412,
masterthesis_mushra,headphones,43,none,,f5_i,C2,100,17109,
masterthesis_mushra,headphones,43,none,,f5_i,C3,100,17109,
masterthesis_mushra,headphones,43,none,,f5_i,C4,60,17109,
masterthesis_mushra,headphones,43,none,,f5_i,C1,100,17109,
masterthesis_mushra,headphones,43,none,,f5_i,reference,100,17109,
masterthesis_mushra,headphones,43,none,,f8_i,reference,100,27666,
masterthesis_mushra,headphones,43,none,,f8_i,C2,100,27666,
masterthesis_mushra,headphones,43,none,,f8_i,C4,61,27666,
masterthesis_mushra,headphones,43,none,,f8_i,C1,100,27666,
masterthesis_mushra,headphones,43,none,,f8_i,C3,29,27666,
masterthesis_mushra,headphones,43,none,,m5_i,C1,100,34559,
masterthesis_mushra,headphones,43,none,,m5_i,C2,29,34559,
masterthesis_mushra,headphones,43,none,,m5_i,C3,28,34559,
masterthesis_mushra,headphones,43,none,,m5_i,C4,44,34559,
masterthesis_mushra,headphones,43,none,,m5_i,reference,41,34559,
masterthesis_mushra,headphones,43,none,,m8_o,C3,100,17644,
masterthesis_mushra,headphones,43,none,,m8_o,C4,54,17644,
masterthesis_mushra,headphones,43,none,,m8_o,reference,76,17644,
masterthesis_mushra,headphones,43,none,,m8_o,C1,81,17644,
masterthesis_mushra,headphones,43,none,,m8_o,C2,100,17644,
masterthesis_mushra,headphones,43,none,,m5_a,C4,100,20909,
masterthesis_mushra,headphones,43,none,,m5_a,C2,100,20909,
masterthesis_mushra,headphones,43,none,,m5_a,C3,100,20909,
masterthesis_mushra,headphones,43,none,,m5_a,reference,100,20909,
masterthesis_mushra,headphones,43,none,,m5_a,C1,100,20909,
masterthesis_mushra,headphones,43,none,,f4_a,C4,82,20188,
masterthesis_mushra,headphones,43,none,,f4_a,C3,82,20188,
masterthesis_mushra,headphones,43,none,,f4_a,C2,87,20188,
masterthesis_mushra,headphones,43,none,,f4_a,reference,79,20188,
masterthesis_mushra,headphones,43,none,,f4_a,C1,63,20188,
masterthesis_mushra,headphones,43,none,,m1_a,C3,100,1087572,
masterthesis_mushra,headphones,43,none,,m1_a,reference,23,1087572,
masterthesis_mushra,headphones,43,none,,m1_a,C1,48,1087572,
masterthesis_mushra,headphones,43,none,,m1_a,C2,67,1087572,
masterthesis_mushra,headphones,43,none,,m1_a,C4,78,1087572,
masterthesis_mushra,headphones,43,none,,m2_i,C3,100,1079734,
masterthesis_mushra,headphones,43,none,,m2_i,reference,100,1079734,
masterthesis_mushra,headphones,43,none,,m2_i,C4,60,1079734,
masterthesis_mushra,headphones,43,none,,m2_i,C2,38,1079734,
masterthesis_mushra,headphones,43,none,,m2_i,C1,100,1079734,
masterthesis_mushra,headphones,43,none,,f6_o,C2,100,8979,
masterthesis_mushra,headphones,43,none,,f6_o,C1,79,8979,
masterthesis_mushra,headphones,43,none,,f6_o,reference,71,8979,
masterthesis_mushra,headphones,43,none,,f6_o,C3,36,8979,
masterthesis_mushra,headphones,43,none,,f6_o,C4,41,8979,
masterthesis_mushra,headphones,43,none,,m8_a,reference,62,14010,
masterthesis_mushra,headphones,43,none,,m8_a,C4,100,14010,
masterthesis_mushra,headphones,43,none,,m8_a,C2,64,14010,
masterthesis_mushra,headphones,43,none,,m8_a,C3,100,14010,
masterthesis_mushra,headphones,43,none,,m8_a,C1,53,14010,
masterthesis_mushra,headphones,43,none,,m4_i,reference,31,13033,
masterthesis_mushra,headphones,43,none,,m4_i,C4,65,13033,
masterthesis_mushra,headphones,43,none,,m4_i,C1,20,13033,
masterthesis_mushra,headphones,43,none,,m4_i,C2,38,13033,
masterthesis_mushra,headphones,43,none,,m4_i,C3,65,13033,
