ID,Gender,Vowel,Quality,Rating
12,female,i,Brightness,-3
12,female,o,Brightness,-2
12,male,i,Brightness,-3
12,male,i,Brightness,-3
12,male,a,Brightness,-4
12,male,i,Brightness,-3
13,male,i,Brightness,-2
13,male,a,Brightness,-3
13,female,i,Brightness,-3
13,female,a,Brightness,-4
13,male,i,Brightness,-3
13,male,o,Brightness,-3
13,female,a,Brightness,-3
13,male,a,Brightness,-2
13,male,a,Brightness,-3
13,female,o,Brightness,-3
13,female,i,Brightness,-2
13,male,i,Brightness,-2
13,male,o,Brightness,-3
13,female,o,Brightness,-2
13,male,a,Brightness,-3
13,female,i,Brightness,-2
13,female,a,Brightness,-2
13,female,a,Brightness,-3
13,male,i,Brightness,-3
13,female,o,Brightness,-3
13,female,i,Brightness,-3
13,female,i,Brightness,-3
13,male,o,Brightness,-3
13,male,i,Brightness,-3
13,male,o,Brightness,-3
13,male,a,Brightness,-3
13,male,o,Brightness,-3
13,female,a,Brightness,-3
13,female,o,Brightness,-3
13,female,o,Brightness,-3
14,male,i,Brightness,-1
14,male,i,Brightness,-1
14,male,o,Brightness,-1
14,male,i,Brightness,-1
14,female,o,Brightness,-1
14,male,a,Brightness,-1
14,female,a,Brightness,-1
14,female,o,Brightness,-1
14,female,a,Brightness,-2
14,female,i,Brightness,0
14,female,o,Brightness,-1
14,female,o,Brightness,-2
14,male,o,Brightness,0
14,male,a,Brightness,0
14,female,i,Brightness,0
14,male,a,Brightness,-2
14,female,o,Brightness,-2
14,male,i,Brightness,-1
14,female,a,Brightness,-1
14,female,a,Brightness,-2
14,male,a,Brightness,-1
14,female,a,Brightness,-1
14,female,i,Brightness,0
14,female,i,Brightness,-1
14,male,i,Brightness,0
14,male,a,Brightness,-1
14,female,i,Brightness,-2
14,male,o,Brightness,0
14,male,o,Brightness,-1
14,male,o,Brightness,-2
15,male,a,Brightness,3
15,male,a,Brightness,-1
15,female,i,Brightness,-1
15,male,i,Brightness,1
15,male,a,Brightness,0
15,male,i,Brightness,0
15,male,o,Brightness,-2
15,female,o,Brightness,0
15,male,a,Brightness,0
15,female,i,Brightness,-1
15,male,o,Brightness,-2
15,male,o,Brightness,0
15,female,i,Brightness,0
15,female,a,Brightness,-1
15,female,a,Brightness,0
15,female,i,Brightness,0
15,male,i,Brightness,-1
15,female,o,Brightness,0
15,female,i,Brightness,0
15,female,o,Brightness,3
15,male,i,Brightness,0
15,female,o,Brightness,-2
15,female,a,Brightness,2
15,male,o,Brightness,0
15,female,o,Brightness,0
15,female,a,Brightness,0
15,male,a,Brightness,3
15,male,i,Brightness,0
15,female,a,Brightness,1
15,male,o,Brightness,-1
16,male,o,Brightness,3
16,male,i,Brightness,-2
16,female,o,Brightness,-4
16,male,o,Brightness,-4
16,female,o,Brightness,0
16,female,i,Brightness,0
16,male,o,Brightness,-2
16,female,i,Brightness,-1
16,male,a,Brightness,-1
16,male,a,Brightness,0
16,female,i,Brightness,-2
16,male,i,Brightness,-4
16,male,o,Brightness,-4
16,female,o,Brightness,0
16,male,o,Brightness,-2
16,female,i,Brightness,1
16,male,i,Brightness,-4
16,female,a,Brightness,-2
16,male,a,Brightness,-3
16,female,a,Brightness,-4
16,male,a,Brightness,-2
16,female,a,Brightness,-4
16,male,i,Brightness,-2
16,female,a,Brightness,-1
16,female,i,Brightness,0
16,male,i,Brightness,-1
16,male,a,Brightness,0
16,female,o,Brightness,-2
16,female,o,Brightness,0
16,female,a,Brightness,-2
17,female,i,Brightness,2
17,female,i,Brightness,-1
17,male,o,Brightness,-2
17,male,a,Brightness,1
17,female,i,Brightness,0
17,female,a,Brightness,1
17,female,o,Brightness,-1
17,male,a,Brightness,-1
17,female,a,Brightness,0
17,male,o,Brightness,-1
17,female,o,Brightness,1
17,male,i,Brightness,0
17,male,i,Brightness,0
17,female,a,Brightness,0
17,male,a,Brightness,0
17,female,o,Brightness,0
17,female,a,Brightness,-1
17,male,a,Brightness,2
17,male,a,Brightness,0
17,male,i,Brightness,-2
17,male,i,Brightness,0
17,male,o,Brightness,0
17,male,i,Brightness,-2
17,male,o,Brightness,0
17,female,i,Brightness,-2
17,female,o,Brightness,-1
17,female,o,Brightness,0
17,female,i,Brightness,1
17,male,o,Brightness,1
17,female,a,Brightness,0
18,female,o,Brightness,2
18,male,a,Brightness,-1
18,female,a,Brightness,-1
18,female,i,Brightness,0
18,female,o,Brightness,0
18,male,i,Brightness,-2
18,male,a,Brightness,1
18,male,o,Brightness,-2
18,female,a,Brightness,-2
18,male,o,Brightness,1
18,female,a,Brightness,-1
18,female,o,Brightness,0
18,female,a,Brightness,-2
18,male,i,Brightness,-2
18,female,o,Brightness,1
18,female,a,Brightness,-1
18,male,i,Brightness,-1
18,male,a,Brightness,-2
18,male,o,Brightness,-2
18,female,i,Brightness,0
18,male,a,Brightness,0
18,female,i,Brightness,3
18,female,i,Brightness,-1
18,male,a,Brightness,-2
18,male,i,Brightness,0
18,male,i,Brightness,-1
18,female,i,Brightness,-3
18,male,o,Brightness,1
18,female,o,Brightness,-1
18,male,o,Brightness,-1
